Go.	가.
Tom is quite motivated.	톰은 꽤 의욕적이야.
Tom is quite motivated.	톰은 꽤 의욕 있어.
Tom is really decisive.	톰은 정말 결단력이 있어.
Tom is really friendly.	톰은 정말로 친절해.
Tom is smart and funny.	톰은 똑똑하고 웃겨.
Tom is smoking a cigar.	톰은 담배를 피우고 있어.
Tom is very happy here.	톰은 여기 있어서 아주 행복해하네.
Tom learns French, too.	톰도 프랑스어 배워.
Tom opened the windows.	톰은 창문을 열었어.
Tom says you're lonely.	톰이 말하길 네가 외로워한대.
Tom seems to be lonely.	톰은 외로워 보여.
Tom still looks sleepy.	톰은 아직도 졸려 보여.
Tom was deeply shocked.	톰은 심한 충격을 받았어.
Unbelievable, isn't it?	못 믿겠지?
We own a dog and a cat.	우린 강아지와 고양이를 가지고 있어.
We're in the same boat.	우리는 같은 배를 탔다.
What causes loneliness?	무엇이 외로움을 불러 일으켜?
What color do you like?	무슨 색이 좋아?
What does it feel like?	기분이 어때?
What language was that?	그건 무슨 언어였지?
What's your cat's name?	네 고양이의 이름은 뭐야?
Where's Tom's computer?	톰 컴퓨터는 어딨어?
Why are you so popular?	너는 어떻게 그렇게 인기가 많니?
Why should we hire you?	왜 우리가 당신을 고용해야 하는 거죠?
You're quite forgetful.	너 건망증이 좀 있구나.
A dog was following Tom.	개 한 마리가 톰을 따라가고 있었어.
Ants are social insects.	개미는 사회적인 동물이야.
Are these your pictures?	이것들 네 사진이야?
Are you sure about that?	확실해?
Can I borrow your phone?	전화기 좀 빌려도 돼?
Can I borrow your radio?	네 라디오 좀 빌려 줄래?
Can we still be friends?	우린 아직도 친구일 수 있을까?
Can you really not swim?	정말 수영할 줄 몰라?
Children need to be fed.	어린이들은 먹어야만 한다.
Don't let them hurt Tom.	그들이 톰을 다치게 하도록 놔두지 마.
Drive at a steady speed.	일정한 속도로 운전해.
Have you ever done that?	한번이라도 해본 적 있어?
He invited me to dinner.	그는 나를 저녁 식사에 초대했다.
He is just killing time.	그는 단지 시간을 때우고 있을 뿐이다.
I almost died yesterday.	나는 어제 죽을 뻔 했어.
I also want to be happy.	나도 행복하고 싶다.
I always get up at 6:30.	나는 항상 아침 6시 30분에 일어난다.
I can hardly believe it.	못 믿겠는데.
I can help you tomorrow.	난 널 내일 도와줄 수 있어.
I didn't want any of it.	나는 아무것도 원하지 않았다
I don't like this store.	이 가게 마음에 안들어.
I enjoy taking pictures.	나 사진찍는 거 좋아해
I hate myself sometimes.	난 가끔 내 자신이 싫어.
I heard a buzzing noise.	윙윙거리는 소리가 들렸어.
I hope that I can do it.	내가 할 수 있길 바라.
I know that Tom can win.	톰이 이길 수 있다는 건 알고 있어.
I often dream in French.	나는 종종 프랑스어로 꿈을 꿔.
I rarely make a mistake.	나는 거의 실수를 하지 않아.
I read a book in French.	난 프랑스어로 된 책을 읽었어.
I really love what I do.	난 내가 하는 것이 정말 좋아.
I really wanted to help.	난 정말로 돕고 싶었어.
I shouldn't've told you.	너한테 말하지 말았어야 했어.
I take back what I said.	아까 한 말 취소야.
I tried to make friends.	난 친구를 만드려고 했어.
I used to be happy here.	난 여기가 만족스러웠었어.
I want to see you smile.	난 당신이 웃는 걸 보고 싶어요.
I was happy to help you.	널 도울 수 있어서 기뻤어.
I was very disappointed.	너무 실망했어.
I'd like you to go away.	네가 저리 갔으면 좋겠어.
I'll follow your advice.	네 조언을 따를게.
I'm feeling a bit tired.	조금 피곤한 기분이야.
I'm going to do my best.	난 최선을 다할 거야.
I'm not as lucky as you.	난 너만큼 운이 좋지 않아.
I'm seeing a trend here.	나는 여기서 유행(경향)을 본다.
I'm sorry I doubted you.	의심해서 미안.
I'm too busy to see Tom.	나는 너무 바빠서 톰을 못 봐.
I'm waiting for a reply.	나는 답장을 기다리고 있다.
Is this your dictionary?	이것은 당신의 사전입니까?
It's awfully warm today.	오늘은 끔찍하게 덥네.
It's awfully warm today.	끔찍하게 더운 날이네.
It's just not that easy.	그것이 그렇게 쉽지는 않아.
Kick as hard as you can.	최대한 세게 차.
Kick as hard as you can.	최대한 세게 차세요.
Let's get a group photo.	단체 사진을 찍읍시다.
Let's go somewhere warm.	따뜻한 곳에 가자.
Let's hope Tom is smart.	톰이 똑똑하길 빌자.
May I ask you something?	제가 당신께 무엇인가 질문해도 될까요?
My boss thinks he's God.	내 상사는 자기가 신인 줄 알아.
My husband is a teacher.	우리 남편은 선생님이야.
Never press this button.	절대 이 버튼을 누르지 마.
One plus one equals two.	1 더하기 1은 2야.
Our wedding is tomorrow.	우리의 결혼식은 내일이다.
She came home very late.	그 사람은 집에 아주 늦게 왔어.
She is dressed in white.	그는 흰 옷을 입고 있다.
She wants to keep a cat.	그 사람은 고양이를 키우고 싶어해.
Something was happening.	뭔가가 일어나고 있어.
Something was happening.	무언가가 일어나고 있어.
Something was happening.	뭔가가 일어나는 중이야.
Sometimes I hate myself.	가끔 내 자신이 싫어.
Stay a while and listen.	가만히 좀 들어.
Tell me what's going on.	무슨 일인지 얘기해봐.
Tell me what's going on.	무슨 일인지 얘기해 주세요.
That's a real good sign.	이건 정말로 좋은 신호야.
That's my favorite song.	이게 바로 내가 가장 좋아하는 노래야.
The dog stopped barking.	개가 짖는 걸 멈췄어.
The keys were in my bag.	열쇠는 내 가방에 있었다.
The signal turned green.	신호는 초록색으로 바뀌었어.
The sun melted the snow.	헷빛이 눈을 녹였어.
There are children here.	여기에 아이들이 있어.
Think whatever you want.	마음대로 생각해.
This dictionary is mine.	이 사전은 내 것이다.
This is a dangerous job.	이건 위험한 일이야.
Tom certainly thinks so.	톰은 틀림없이 그렇게 생각해.
Tom didn't get up early.	톰은 일찍 일어나지 않았어.
Tom died in his kitchen.	톰은 자택 부엌에서 죽었어.
Tom dyed his hair green.	톰은 머리를 초록색으로 염색했어.
Tom fell into the water.	톰은 물에 빠졌어.
Tom has three computers.	톰은 컴퓨터를 세 대 가지고 있어.
Tom has to learn French.	톰은 프랑스어를 배워야 해.
Tom is a lovable person.	톰은 사랑스러운 사람이야.
Tom is in the same boat.	톰은 같은 처지다.
Tom is tall for his age.	톰은 나이에 비해 키가 커.
Tom isn't a drug addict.	톰은 마약 중독자가 아냐.
Tom lacks social skills.	톰은 사회성이 부족해.
Tom looks pretty sleepy.	톰은 상당히 졸려 보인다.
Tom plays the saxophone.	톰은 색소폰을 연주할 수 있어.
Tom said I looked tired.	톰이 내가 피곤해보인다고 말했어
Tom said that he was OK.	톰은 괜찮대.
Tom sat in the darkness.	톰은 어둠 속에 앉아 있었어.
Tom seemed to be lonely.	톰은 외로워 보였어.
Tom sleeps all the time.	톰은 맨날 잠만 자.
Tom started getting mad.	톰은 화가 나기 시작했다.
Tom taught French to us.	톰은 우리한테 프랑스어를 가르쳤어.
Tom understands physics.	톰은 물리를 이해해.
Tom was totally into it.	탐은 그 것에 푹 빠져 있었다.
Tom will never catch me.	톰은 날 절대 따라잡을 수 없겠지.
Tom works in a bank now.	톰은 현재 은행에서 일해.
We have a party tonight.	우리 오늘 밤에 파티가 있어.
We should get back home.	우리는 집으로 돌아가야 한다.
We'll take care of that.	우리가 그것을 맡겠다. (처리하겠다.)
What do you want to eat?	뭐 먹고 싶어?
What does it consist of?	뭘로 구성되어 있어?
What we need is a break.	우리한테 필요한 건 휴식이야.
What's the horse's name?	그 말의 이름이 뭐야?
Where do you want to go?	너 어디 가고 싶니?
Why is he staring at me?	그는 왜 날 쳐다보는 거지?
Yes, that's what I mean.	그래, 그게 내가 말하려던 것이었어.
You need to be prepared.	넌 준비해야 돼.
You seemed to be lonely.	네가 외로워 보였어.
You should stop singing.	너 노래 그만 불러야할 것 같아.
You should study French.	넌 프랑스어를 공부해야 할 것 같아.
You would never do that.	넌 절대 그걸 안 할 걸.
You're still a beginner.	너는 아직도 초보야.
You're very competitive.	넌 아주 경쟁적이네.
A square has four angles.	사각형은 각이 4개다.
Always cite your sources.	항상 네 자료를 인용하도록 해.
Can you help me a little?	조금 도와주실 수 있습니까?
Did you make it yourself?	직접 만드신 거예요?
Do as I say, not as I do.	내가 말하는 대로 해, 내가 하는 대로 말고.
Do you have a cell phone?	핸드폰 갖고 있어?
Do you know why I'm here?	내가 왜 여기있는지 알아?
Do you like baking cakes?	케이크 굽는 거 좋아해?
Do you understand or not?	이해한거야 안한거야?
Do you want me to answer?	내가 대답하길 원해?
Don't treat me like that.	나를 그렇게 대하지 마.
Everyone loves a freebie.	모두가 공짜를 좋아한다.
Greece is an old country.	그리스는 오래된 나라이다.
Have you ever been drunk?	취해본 적 있어?
Have you ever been fired?	너 해고당한 적 있어?
He looks old for his age.	톰은 나이에 비해 늙어 보여.
He quit school last week.	그는 지난주에 학교를 그만뒀어.
How badly was Tom beaten?	톰이 얼마나 심하게 맞았니?
How's the business going?	사업 어떻게 되어 가?
I can't get over my cold.	감기가 안나아.
I can't live without you.	너 없인 못 살아.
I didn't take my hat off.	나는 모자를 벗지 않았어.
I don't like Tom anymore.	나는 톰을 더 이상 안 좋아해.
I don't use social media.	나는 소셜 미디어는 안 써.
I feel like a little kid.	꼬마가 된 기분이야.
I felt sad for no reason.	나는 이유 없이 슬펐어.
I go to school by subway.	난 지하철로 학교에 가.
I got injured doing that.	제가 그러다가 다쳤었어요.
I have never felt better.	이보다 더 좋았던 적이 없다.
I have to say I envy you.	네가 부럽다고 말해야할 것 같아.
I just need to stay calm.	나는 단지 차분해질 필요가 있어.
I know Tom is a lazy kid.	난 톰이 게으른 애라는 걸 알고 있어.
I know you'll forgive me.	날 용서해주리라고 알고 있어.
I met Tom in the library.	난 톰을 도서관에서 만났어.
I recognize those people.	나 저 사람들 알아.
I saw him reading a book.	나는 그 사람이 책을 읽는 걸 봤어.
I think I understand now.	나 이제 이해한 것 같아.
I tried to act impressed.	나는 감동한 것처럼 보이려고 노력했어.
I want Tom put in prison.	나는 탐을 감옥에 넣고 싶어.
I want to learn to drive.	운전하는 법을 배우고 싶어.
I was trying to help you.	난 널 도와주려고 노력하던 중이었어.
I will never forgive you.	난 널 절대로 용서하지 않을 거야.
I'm aware this is Monday.	지금 월요일이라는 것을 자각하고 있어.
I'm getting really tired.	나는 정말 피곤해지고 있다.
I'm not a morning person.	난 아침형 인간이 아니야.
I'm not going to give up.	나는 포기하지 않을 것이다.
I'm not ready to die yet.	난 아직 죽을 준비가 안됐어.
I'm trying to act casual.	자연스럽게 행동하려고 노력하고 있어.
I'm trying to do my best.	난 최선을 다하려고 노력하는 중이야.
I'm very happy in Boston.	난 보스턴 생활이 너무 좋아.
I've gained weight again.	또 살이 쪄버렸어.
I've had a very busy day.	아주 바쁜 나날을 보내던 참이었어.
It looks like it'll rain.	비가 올 것 같아.
It may take over an hour.	한 시간 넘게 걸릴 것 같아.
It's a thing of the past.	이건 과거의 일이야.
It's really hard to stop.	멈추는 건 너무 어려워.
It's really hard to stop.	그만 두는 건 너무 어려워.
May I have this magazine?	이 잡지 내가 가져도 돼?
My father was a Canadian.	내 아빠는 캐나다인이었어.
My worst fears came true.	내가 우려했던 최악의 상황이 현실로 되었어.
Oh my God, what'll we do?	맙소사, 이제 어떡해?
Our baby cannot talk yet.	우리 아기는 아직 말을 못해.
Please accept my apology.	제 사과를 받아 주세요.
Please don't waste water.	물을 낭비하지 말아줘.
Samsung is a big company.	삼성은 큰 회사입니다.
Science is very exciting.	과학은 아주 흥미진진해.
She carried out the plan.	그는 계획을 실행했다.
She has to study science.	그 사람은 과학을 공부해야 해.
Tell Tom that he's wrong.	톰에게 그가 틀렸다고 말해.
Tell me I'm not dreaming.	내가 꿈을 꾸는 것이 아니라고 말해.
That's my responsibility.	그것은 나의 책임이다.
That's what makes me sad.	그게 바로 날 슬프게 해.
The boys have gone north.	그 소년들은 북쪽으로 갔다.
The coat is on the chair.	코트는 의자에 있어.
The deal is all but done.	거래는 거의 끝났다.
The snow melts in spring.	눈은 봄에 녹아.
The water is really cold.	물이 정말 차가워.
They are eating just now.	그 사람들은 막 바로 먹고 있어.
Think about what you did.	네가 한 것에 대해 생각해 봐.
This dog is almost human.	이 강아지는 거의 사람같아.
This isn't a French word.	이건 프랑스어 단어가 아니야.
Tom and Mary are singers.	톰과 메리는 가수야.
Tom asked for a discount.	톰은 할인을 요청했습니다.
Tom asked for a discount.	톰은 값을 깎아달라고 했다.
Tom climbed the mountain.	톰은 그 산을 올라갔다.
Tom couldn't concentrate.	톰은 집중할 수 없었어.
Tom didn't move a muscle.	톰은 움직이지 않았다.
Tom doesn't look so well.	탐은 그다지 좋아보이지 않는다.
Tom gave it some thought.	탐은 이것에 대해 생각을 해봤다.
Tom has no social skills.	톰은 눈치가 없어.
Tom hurt Mary's feelings.	톰은 메리의 감정을 상하게 했다.
Tom is a very bad person.	톰은 아주 나쁜 사람이야.
Tom is as thin as a rail.	톰은 철로만큼 날씬해.
Tom is as thin as a rail.	톰은 난간만큼 날씬해.
Tom is listening to Mary.	톰은 메리의 말을 듣고 있어.
Tom is passed out in bed.	톰은 침대에서 기절했다.
Tom is short for his age.	톰은 나이에 비해 작아.
Tom is still quite young.	톰은 아직도 꽤 어려.
Tom is taking baby steps.	톰은 걸음마를 하고 있어.
Tom isn't a good manager.	톰은 좋은 매니저가 아니야.
Tom loves to study music.	톰은 음악 공부하는 걸 좋아해.
Tom sat in the front row.	톰은 앞 줄에 앉았다.
Tom sold his car to Mary.	톰은 그의 차를 메리에게 팔았다.
Tom used Mary's computer.	톰은 메리의 컴퓨터를 썼어.
Tom was a troubled child.	톰은 문제아였어.
Tom was incredibly bored.	톰이 엄청나게 지루해했어.
Tom, it isn't your fault.	톰아, 이건 네 잘못이 아니야.
Two plus two equals four.	2 더하기 2는 4야.
Wait for us in the lobby.	로비에서 기다려 주세요.
We had to keep it secret.	우리는 그것을 비밀에 부쳐야 했다.
We shouldn't've given up.	우린 포기하지 말았어야 했어.
What color is Tom's hair?	톰 머리는 어떤 색깔이야?
What did Tom say exactly?	톰이 정확히 뭐라고 말했어?
Where can I learn French?	어디서 프랑스어를 배울 수 있어?
Where do ideas come from?	아이디어는 어디에서 나와?
Who's playing the violin?	누가 바이올린을 연주하고 있어?
Whose dictionary is this?	이건 누구 사전입니까?
Would you like some more?	더 먹을래?
Yesterday was a good day.	어제는 좋은 날이었다.
You can't erase the past.	과거를 지울 순 없어.
You have to study French.	넌 프랑스어를 공부해야 돼.
You need to study French.	넌 프랑스어를 공부할 필요가 있어.
You should exercise more.	너 운동 좀 더 해야겠어.
You still look depressed.	너 아직도 우울해 보여.
You trust Tom, don't you?	넌 톰을 믿고 있지.
All people are born equal.	모든 사람은 평등하게 태어났어.
Are video games addictive?	비디오 게임은 중독성 있어?
Are you calling me stupid?	너 날 멍청이라고 부르고 있어?
Are you going to use this?	이걸 쓰실 겁니까?
Both of them speak French.	둘 다 프랑스어를 할 줄 알아.
Culture destroys language.	문화가 언어를 망친다.
Did you learn it from him?	그 사람한테서 배웠어?
Do you believe God exists?	너는 신이 존재한다고 믿니?
Do you have a reservation?	예약하셨나요?
Do you have your passport?	여권 있어?
Do you have your passport?	여권 있습니까?
Do you think Tom is lying?	너는 톰이 거짓말을 하고 있다고 생각하니?
French bread is delicious.	프랑스 빵은 맛있어.
French bread is delicious.	프랑스 빵은 맛있습니다.
Have you eaten dinner yet?	아직 저녁을 안 드셨나요?
Have you ever been lonely?	외로웠던 적이 있어?
Have you ever been robbed?	한번이라도 도둑맞았던 적이 있어?
He came down to breakfast.	그는 아침식사를 하러 내려왔다.
He decided on the red car.	그 사람은 빨간 차로 결정했어.
He tried to open the door.	그가 문을 열려고 하였다.
How many eggs did you buy?	계란 얼마나 샀어?
How much does a room cost?	방의 가격은 얼마야?
How much does a room cost?	방은 얼마야?
How safe are e-cigarettes?	전자담배는 얼마나 안전해?
I am four months pregnant.	나는 임신 4개월이다.
I called Tom this morning.	나는 오늘 아침 톰에게 전화했다.
I can both sing and dance.	나는 노래도 부를 줄 알고 춤도 출 줄 알아.
I can teach French to Tom.	난 톰한테 프랑스어를 가르칠 수 있어.
I can't ask Tom right now.	난 지금 당장은 톰한테 물어볼 수 없어.
I can't shake off my cold.	감기가 안나아.
I can't tell you much yet.	아직은 많은 것을 말해 줄 수는 없어.
I didn't feel embarrassed.	창피함은 안 느꼈어.
I don't have a cell phone.	나한텐 핸드폰이 없어.
I don't like Tom and Mary.	난 톰과 메리를 좋아하지 않아.
I don't want to be lonely.	외로워지고 싶지 않아.
I have some English books.	제게 영어책이 몇권 있습니다.
I haven't kissed Mary yet.	아직 메리랑 키스 못 해봤어.
I keep dreaming about Tom.	난 계속 톰에 대한 꿈만 꾸고 있어.
I know why Tom was crying.	난 톰이 왜 울었는지를 알고있어.
I like learning languages.	난 언어를 배우는 것을 좋아해.
I like learning languages.	난 언어를 배우는 걸 좋아해.
I like studying languages.	언어를 공부하는 게 좋아요.
I love learning languages.	언어 공부하는 것을 좋아합니다.
I love meeting new people.	나는 새로운 사람들을 만나는 것을 좋아한다.
I prefer spring to autumn.	나는 가을보다 봄이 좋아.
I prefer spring to autumn.	가을보다 봄이 좋아요.
I really should've called.	난 진짜 불렀어야 했는데.
I should've come with you.	너랑 같이 갔어야 했는데.
I shouldn't've eaten that.	난 그걸 먹지 말았어야 했어.
I think that's inaccurate.	이건 부정확한 것 같아.
I think this is important.	이건 중요한 것 같아.
I think you both know Tom.	너희들 둘 다 톰을 아는 것 같은데.
I think you should buy it.	넌 그걸 사야할 것 같아.
I thought Tom was worried.	톰이 걱정하고 있는 줄 알았어.
I thought you'd forgotten.	네가 잊어버린 줄 알았어.
I took a walk with my dog.	내 개와 산책했어.
I want to shake your hand.	너와 악수 하고 싶어.
I'm interested in science.	난 과학에 관심 있어.
I'm learning how to drive.	난 운전하는 법을 배우고 있어.
I'm not afraid of spiders.	난 거미 안 무서워.
I'm still learning French.	난 아직도 프랑스어를 배우고 있어.
I'm still learning French.	난 아직도 프랑스어 배우고 있어.
I'm taking a French class.	나는 프랑스어 수업을 듣고 있어.
I've got proof right here.	바로 여기서 증거를 잡았어.
Is that a scientific fact?	이거 과학적인 사실이야?
It was nothing but a joke.	농담일 뿐이야.
It's dark in the basement.	지하실은 어두워.
It's popular in Australia.	호주에서는 인기가 있어요.
Let me help you with that.	제가 도와드릴게요.
Let me help you with that.	내가 도와줄게.
Many people act like that.	많은 사람들이 저런 식으로 행동해.
May your dreams come true.	네 꿈이 실현되길.
Most dogs have brown eyes.	개는 대부분 갈색 눈을 가지고 있어.
My brother is a professor.	내 오빠는 교수야.
My brother is a professor.	내 동생은 교수야.
My brother is a professor.	내 형은 교수야.
My children are in school.	우리 애들은 학교에 있어요.
My daughter is only three.	내 딸은 3살일 뿐이야.
One of my cats is missing.	내 고양이 중 한 마리가 안 보여.
Please take me to my seat.	제 자리로 데려다 주세요.
Procrastinating is an art.	미루는 것은 일종의 예술이다.
Sugar is soluble in water.	설탕은 물에 잘 녹아.
Thanks for your help, Tom.	도와줘서 고마워, 톰.
Thanks for your help, Tom.	도와줘서 고마워요, 톰.
The funeral was yesterday.	장례식은 어제였다.
This book is of great use.	이 책은 정말 유용하네.
This is a serious problem.	이건 중대한 문제야.
This is just like a dream.	이건 마치 꿈만 같아.
Tom coughed up some blood.	톰은 조금의 피를 토해냈다.
Tom has braided his beard.	톰은 그의 턱수염을 땋았다.
Tom is a pretty good poet.	톰은 꽤 괜찮은 시인이야.
Tom is a pretty good poet.	톰은 좀 괜찮은 시인이야.
Tom is addicted to heroin.	톰은 헤로인 중독자야.
Tom is having a hard time.	톰은 힘든 시간을 보내고 있어.
Tom is lonely and unhappy.	톰은 외롭고 불행해.
Tom is reading a magazine.	톰은 잡지를 읽고 있어.
Tom is shouting something.	톰은 뭔가를 쏘고 있어.
Tom is sitting on his bed.	톰은 자기 침대에 누워 있어.
Tom is wearing blue jeans.	톰은 파란색 바지를 입고 있어.
Tom is wearing blue jeans.	톰은 파란 바지를 입고 있어.
Tom learns French as well.	톰도 마찬가지로 프랑스어 배워.
Tom likes butter too much.	톰은 버터를 너무 좋아하네.
Tom looks old for his age.	톰은 나이에 비해 늙어 보여.
Tom said goodbye and left.	톰은 작별인사를 하고 떠나버렸어.
Tom said goodbye and left.	톰은 작별인사를 한 후 떠났다.
Tom shut his computer off.	톰은 자기 컴퓨터를 껐어.
Tom speaks many languages.	톰은 많은 언어를 할 줄 알아.
Tom started getting angry.	톰은 화가 나기 시작했다.
Tom taught me how to surf.	톰이 나한테 서핑하는 방법을 알려 줬어.
Tom was afraid to be here.	톰이 여기에 있길 두려워 했어.
Tom was afraid to be here.	톰이 여기에 있길 무서워 했어.
Tom went to bed very late.	톰은 엄청 늦게 잤어.
Tom went to school by car.	톰은 자동차로 학교에 갔어.
Tom will have a hard time.	톰은 힘든 시간을 보내게 될 거야.
Tom, you've grown so fast.	톰아, 너 너무 빨리 자랐네.
We might need to help Tom.	우리가 톰을 도울 필요가 있을 수도 있다.
We're running out of ammo.	탄약이 바닥나고 있어.
We're university students.	우리는 대학생입니다.
What in the world is this?	이게 대체 뭐야?
What in the world is this?	이게 대체 뭐예요?
What's your favorite food?	가장 좋아하는 음식이 뭐야?
What's your favorite team?	가장 좋아하는 팀은 어떤 팀이야?
When did it start snowing?	눈이 언제 내리기 시작했어?
Where can we park the car?	우린 어디에 차를 주차할 수 있을까?
Where do you want to live?	어디에서 살고싶어?
Why are you still working?	너 왜 아직도 일하고 있어?
Why are you still working?	왜 아직도 일하고 있어?
Why are you still working?	왜 아직도 일하는 중이야?
Would you stop doing that?	그것 좀 멈춰 줄래?
You completely ignored me.	넌 날 완전히 무시했어.
You ought to study French.	넌 프랑스어를 공부해야 돼.
You will know soon enough.	곧 충분히 알게 될거야.
You'd better not tell him.	그에게 말하지 않는게 좋을걸.
You're lonely, aren't you?	너 외롭구나. 그치?
You've deceived me before.	너는 날 속인 적이 있었지.
Actinium melts at 1,051°C.	악티늄은 1,050°C일 때 녹아.
Are we going somewhere now?	지금 어디 가는 길이세요?
Are you a Canadian citizen?	당신은 캐나다 시민입니까?
Are you able to play organ?	너 오르간 칠 수 있어?
Can I borrow your scissors?	네 가위 좀 빌려 줄래?
Can I borrow your umbrella?	네 우산 좀 빌릴 수 있을까?
Can I borrow your umbrella?	네 우산 좀 빌려 줄래?
Can I come some other time?	나중에 한번 다시 와도 돼?
Coconuts have a hard shell.	코코넛은 껍질이 단단해.
Do I look desperate to you?	내가 절박해 보이냐?
Do you want some breakfast?	아침 먹을래?
Do you want to take a walk?	산책하고 싶어?
Dreams sometimes come true.	꿈은 가끔 이루어져.
Have you ever been engaged?	한번이라도 약혼한 적 있어?
Have you ever been in jail?	너 감옥에 간 적 있어?
Have you ever been in love?	너 한번이라도 사랑해본 적 있어?
He invited me to the party.	그사람이 나를 파티에 초대했어.
He made his will last year.	그는 작년에 유언장을 썼습니다.
I bet Tom knows the answer.	톰은 정답을 알고있을걸?
I can't decode the message.	메시지를 해독할 수 없어.
I can't get rid of my cold.	감기가 안나아.
I can't stand these people.	나는 저런 사람들을 참을 수 없어.
I didn't ask for your help.	너한테 도와달라고 안했거든.
I didn't know who you were.	네가 누군지 난 몰랐어.
I do that almost every day.	나는 그것을 거의 매일 한다.
I don't read French novels.	난 프랑스 소설은 읽지 않아.
I don't think Tom is sorry.	톰이 미안해 하는 것 같지 않은데.
I feel so lonely sometimes.	가끔 너무 외로움을 느껴.
I must've lost some weight.	난 아마 살이 좀 빠졌어.
I need a red ballpoint pen.	빨간색 볼펜이 필요해.
I really love French books.	난 프랑스 책들을 정말 좋아해.
I soon learned how to swim.	난 곧 수영하는 법을 알게 되었어.
I think I'm a good surgeon.	나는 괜찮은 외과의사인 것 같아.
I think Tom has lied to us.	톰이 우리한테 거짓말 한 것 같아.
I think this is ridiculous.	우스운 것 같네.
I think this is ridiculous.	한심한 것 같아.
I tried to act standoffish.	난 도도한 척 하려고 노력했어.
I try to act appropriately.	적절하게 처신하려고 노력하는 중이야.
I understand what you mean.	네가 무슨 말 하려는 지는 알겠어.
I used to be poor like you.	나는 너처럼 가난했었다.
I want you to meet someone.	나는 네가 다른사람을 만났으면 해.
I wanted to see Tom's room.	톰의 방을 보고 싶었어.
I wanted to speak with Tom.	톰이랑 얘기하고 싶었어.
I wanted to speak with Tom.	톰이랑 대화하고 싶었어.
I was overseas at the time.	그때 나는 해외에 있었어
I wish I hadn't kissed you.	너한테 키스하지 말았어야 했어.
I'll pay whatever it costs.	얼마이든지간에 살게.
I'm a little old-fashioned.	난 좀 촌스러워.
I'm reading a French novel.	난 프랑스 소설을 읽고 있어.
I'm sorry for interrupting.	끼어 들어서 죄송합니다.
I'm sorry for interrupting.	방해해서 죄송합니다.
I'm sorry to interrupt you.	방해해서 미안해.
I've been doing this wrong.	난 계속 잘못하고 있었어.
I've been dying to see Tom.	난 톰이 너무 보고 싶어 죽겠어.
I've learned to trust them.	난 신뢰하는 법을 배웠어.
Is there a pharmacy nearby?	이 근처에 약국 있어요?
It is already nine o'clock.	벌써 아홉시다.
It only weighs 3 kilograms.	3킬로그램밖에 되지 않는다.
It's no use talking to Tom.	톰한테 말거는 것은 쓸데없어.
Learning French takes time.	프랑스어를 배우는 데에는 시간이 걸려.
Leave the book where it is.	책을 제자리에 놔 두세요.
Let's stay friends forever.	언제까지나 친구로 지내자.
Mary died of breast cancer.	메리는 유방암으로 죽었어.
Men like to look masculine.	남자들은 남성적으로 보이고 싶어한다.
Merry Christmas, everybody!	모두들 메리 크리스마스!
My calculation was correct.	내 계산은 정확했어.
My cell phone doesn't work.	내 핸드폰은 동작하지 않아.
Nobody is too old to learn.	배움에 나이는 없어.
People are still suffering.	사람들은 아직도 고통받고 있어.
Puns are hard to translate.	말장난은 번역하기 어려워.
Rabbits are social animals.	토끼는 사회적 동물이야.
She forced him to sit down.	그녀는 강제로 그를 앉혔다.
She looked around the room.	그 사람은 방 주위을 둘러 봤어.
She says she likes flowers.	그녀는 꽃을 좋아한다고 말했다.
Tell Tom I'll be home soon.	곧 집에 갈 거라고 톰한테 전해.
Tell me where you're going.	어디가는지 말해줘.
Thank you for your efforts.	수고했어.
That'll teach you a lesson.	그건 너한테 교훈을 줄 거야.
The baby was crying in bed.	아기가 침대에서 울고 있었어.
The boys played in the mud.	남자애들은 진흙탕에서 놀았다.
The cat's still very young.	그 고양이 아직도 많이 어려.
The gift was still wrapped.	선물은 아직도 포장 상태야.
The medicine tastes bitter.	그 약은 쓰다.
The medicine tastes bitter.	그 약은 써요.
The snow has begun to melt.	눈은 녹기 시작했어.
There are no stars tonight.	오늘 밤엔 별이 안보이네.
This bread looks delicious.	이 빵 맛있어 보이네.
This code can't be cracked.	이 코드는 해킹될 수 없어.
This house is not for sale.	이 집은 팔려고 내놓은 집 아니에요.
This is a very useful tool.	이건 아주 유용한 도구야.
Tom and Mary have children.	톰과 메리에게는 자식이 있어.
Tom appears to be sleeping.	톰이 자고 있는 것처럼 보여.
Tom barely passed the exam.	톰은 시험 간신히 붙었어.
Tom didn't understand Mary.	톰은 메리를 이해할 수 없었다
Tom doesn't know the rules.	톰은 규칙을 몰라.
Tom finally found his keys.	톰이 드디어 자기 열쇠를 찾았다더라.
Tom grew up in the suburbs.	Tom은 교외에서 자랐다.
Tom has a dog named Cookie.	톰은 쿠키라는 강아지를 키우고 있어.
Tom has low blood pressure.	톰은 저혈압이다.
Tom has more money than me.	톰은 나보다 돈이 많아.
Tom initialed the document.	탐은 그 문서에 서명했다.
Tom is a very quiet person.	톰은 아주 조용한 사람이야.
Tom is ashamed of his body.	톰은 자기 몸을 창피해해.
Tom is ashamed of his body.	톰은 자기 몸을 창피해하고 있어.
Tom is eating potato chips.	톰은 감자칩을 먹고 있어.
Tom is having a tough time.	톰은 힘든 시간을 보내고 있어.
Tom is in a very good mood.	톰은 기분이 굉장히 좋네.
